slurp_id,scenario,intent,intent_raw,gold_intent_final,review_status,review_category,review_note,gold_sentence,sentence_annotation,audio_file
173,alarm,alarm_set,alarm_set,alarm_set,ok,,,set alarm tomorrow at six am,set alarm [date : tomorrow] at [time : six am],audio-1490356193-headset.flac
232,alarm,alarm_set,alarm_set,alarm_set,ok,,,set an alarm at six in the morning,set an alarm at [time : six] in the [timeofday : morning],audio--1504192432-headset.flac
237,alarm,alarm_query,alarm_query,alarm_query,ok,,,did i set an alarm to wake up in the morning,did i set an alarm to [alarm_type : wake up] in the [timeofday : morning],audio-1498567914-headset.flac
510,alarm,alarm_query,alarm_query,alarm_query,ok,,,do i have an alarm set,do i have an alarm set,audio-1501686963-headset.flac
534,alarm,alarm_set,alarm_set,alarm_set,ok,,,set a wake up call for ten am,set a wake up call for [time : ten am],audio-1490264329-headset.flac
536,alarm,alarm_set,alarm_set,alarm_set,ok,,,make an alarm for three pm,make an alarm for [time : three pm],audio-1490369142-headset.flac
538,alarm,alarm_set,alarm_set,alarm_set,ok,,,set an alarm for one pm,set an alarm for [time : one pm],audio-1497868915-headset.flac
562,alarm,alarm_remove,alarm_remove,alarm_remove,ok,,,get rid of my eight am alarm,get rid of my [time : eight am] alarm,audio-1497264951-headset.flac
601,alarm,alarm_set,alarm_set,alarm_set,ok,,,start alarm,start alarm,audio-1490019434-headset.flac
610,alarm,alarm_set,alarm_set,alarm_set,ok,,,i want to wake up at six am tomorrow please,i want to wake up at [time : six am] [date : tomorrow] please,audio-1502891344-headset.flac
885,alarm,alarm_set,alarm_set,alarm_set,ok,,,alarm set eight am,alarm set [time : eight am],audio-1490288635-headset.flac
895,alarm,alarm_remove,alarm_remove,alarm_remove,ok,,,turn off the six am alarm for wednesday,turn off the [time : six am] alarm for [date : Wednesday],audio-1490288525-headset.flac
896,alarm,alarm_remove,alarm_remove,alarm_remove,ok,,,turn off any morning alarms after friday,turn off any [timeofday : morning] alarms [date : after Friday],audio--1504192734-headset.flac
937,alarm,alarm_remove,alarm_remove,alarm_remove,ambiguous_retained,need_audio,'phones' (attuale alarm_remove),phones,phones,audio-1497879532-headset.flac
